"FEATURECLASS","FEATUREID","minX","maxX","minY","maxY"
"NAFO","0A",-80,-57.63,66.25,78.16666
"NAFO","0B",-80,-57.21667,60.2,66.25
"NAFO","1A",-73.5,-44,68.83333,78.16666
"NAFO","1B",-59.75185,-44,66.25,68.83333
"NAFO","1C",-57.79978,-44,64.25,66.25
"NAFO","1D",-58.03333,-44,62.5,64.25
"NAFO","1E",-57.55807,-44,60.75,62.5
"NAFO","1F",-57.21667,-42,52.25,60.75
"NAFO","2GA",-64.5,-62,59.5,60.5
"NAFO","2GB",-62,-60,59.5,60.5
"NAFO","2GC",-64,-61,58,59.5
"NAFO","2GD",-61,-59,58.5,59.5
"NAFO","2GE",-64,-61,57.66666,58.5
"NAFO","2GF",-61,-59,57.66666,58.5
"NAFO","2GG",-64.5,-52.0833,57.66667,61
"NAFO","2GP",-59,-57,57.66666,58.5
"NAFO","2HA",-63,-60,56.5,57.66666
"NAFO","2HB",-60,-58,56.5,57.66666
"NAFO","2HC",-58,-56,56.5,57.66666
"NAFO","2HD",-63,-59,55.33333,56.5
"NAFO","2HE",-59,-57,55.33333,56.5
"NAFO","2HF",-57,-55,55.33333,56.5
"NAFO","2HH",-56,-47.5833,55.33333,57.66667
"NAFO","2JA",-61,-56.5,54.5,55.33333
"NAFO","2JB",-59,-55,54.5,55.33333
"NAFO","2JC",-55,-52,54.5,55.33333
"NAFO","2JD",-58,-55.5,53.58333,54.5
"NAFO","2JE",-56.5,-54,53.25,54.5
"NAFO","2JF",-54,-52,53.25,54.5
"NAFO","2JG",-52,-50,53.25,54.5
"NAFO","2JI",-55.5,-54,52.25,53.58333
"NAFO","2JJ",-52,-42,52.25,55.33333
"NAFO","2JL",-52,-50,52.25,53.25
"NAFO","2JM",-57,-55.5,52.25,53.7
"NAFO","2JN",-54,-52,52.25,53.25
"NAFO","3KA",-55.56667,-54,50.33333,52.25
"NAFO","3KB",-54,-52,51,52.25
"NAFO","3KC",-52,-49,51,52.25
"NAFO","3KD",-56.99386,-54,49.16532,51.38333
"NAFO","3KE",-54,-52.5,50,51
"NAFO","3KF",-52.5,-51,49.25,51
"NAFO","3KG",-51,-48,49.25,51
"NAFO","3KH",-56.99386,-54,48.98448,50.33333
"NAFO","3KI",-55.33333,-52.5,48.98448,50.33333
"NAFO","3KK",-49,-42,49.25,52.25
"NAFO","3LA",-54.39344,-52.5,48.25451,49.25
"NAFO","3LB",-54.39344,-52.5,47.94723,49.25
"NAFO","3LC",-52.5,-51,48,49.25
"NAFO","3LD",-51,-49,48,49.25
"NAFO","3LE",-49,-46.5,48,49.25
"NAFO","3LF",-53.79906,-52.5,47.8,48.5
"NAFO","3LG",-52.5,-51,47,48
"NAFO","3LH",-51,-49,47,48
"NAFO","3LI",-49,-46.5,47,48
"NAFO","3LJ",-53.06667,-52.5,46.5,47.83333
"NAFO","3LQ",-54.5,-52.5,46,47.94723
"NAFO","3LR",-51,-49,46,47
"NAFO","3LS",-52.5,-51,46,47
"NAFO","3LT",-49,-46.5,46,47
