"FEATURECLASS","FEATUREID","minX","maxX","minY","maxY"
"MANAGEMENT AREA","ALL GEAR > 100 FT",-65.683333,-65.55,41.966667,42.066667
"MANAGEMENT AREA","BANQUEREAU_POLY_BOX",-57.960092,-57.842253,44.386931,44.495136
"MANAGEMENT AREA","BLUEFIN EXCLUSION ZONE",-65.619444,-62,43.18,45
"MANAGEMENT AREA","BROWNS SEA",-66.5,-64,42.166667,43
"MANAGEMENT AREA","BROWNS_POLY_BOX",-66.176691,-66.15011,42.770328,42.86731
"MANAGEMENT AREA","CLARK3_OTBMAY_SEPT",-67.33,-66.22,43.92,44.4
"MANAGEMENT AREA","COLD_EMERALD",-62.4251,-62.3,43.3762,43.4667
"MANAGEMENT AREA","COLD_SABLE",-60.5418,-60.4167,43.6833,43.7735
"MANAGEMENT AREA","COLD_WESTERNB",-61.6007,-61.4755,43.8765,43.9667
"MANAGEMENT AREA","CROWELL2",-67.7,-66.9,42.74,43.11
"MANAGEMENT AREA","CROWELL3",-67.743,-66.9,42.7317,43.11
"MANAGEMENT AREA","DEEP PANUKE",-60.729167,-60.729167,43.799167,43.799167
"MANAGEMENT AREA","DND SURVEY",-63.766667,-63.433333,43.333333,43.916667
"MANAGEMENT AREA","ECOPATH",-63.333333,-56.533333,42.45,45.666667
"MANAGEMENT AREA","EMERALD_POLY_BOX",-62.710706,-62.405362,43.497581,43.83257
"MANAGEMENT AREA","FENTON_REDFISH",-57.5,-57,44,45
"MANAGEMENT AREA","FIXED GEAR < 45 FT",-65.65,-65.333333,41.866667,42.183333
"MANAGEMENT AREA","GB COD ZONE A",-67.31,-65.65,41.7,42.333333
"MANAGEMENT AREA","GB COD ZONE B",-67.2,-65.82,41.8,42.21
"MANAGEMENT AREA","GB COD ZONE C",-67,-66.47,41.7,41.98
"MANAGEMENT AREA","GB COD ZONE D",-66.76,-66.32,41.4,41.7
"MANAGEMENT AREA","GB COD ZONE E",-66.505,-65.65,41.16,41.8
"MANAGEMENT AREA","GEORGES_POLY_BOX",-66.604843,-66.410882,42.015315,42.171921
"MANAGEMENT AREA","GREY ZONE",-67.300022,-66.901944,44.186111,44.775
"MANAGEMENT AREA","GULLY STATION ACTUAL",-59.2575,-59.251667,44.080833,44.099833
"MANAGEMENT AREA","GULLY STATION ACTUAL 2",-59.417,-59.251667,43.969667,44.2805
"MANAGEMENT AREA","HADDOCKNURSERY4W",-63.333333,-61.3,43.016667,44.033333
"MANAGEMENT AREA","HADDOCKNURSERYOUTER",-63.333333,-61.3,41.883333,44.033333
"MANAGEMENT AREA","HOT_BROWNS",-66.2,-66.1,42.75,42.8333
"MANAGEMENT AREA","HOT_EMERALD",-62.4751,-62.35,43.5293,43.6195
"MANAGEMENT AREA","HOT_SABLE",-61.0418,-60.9167,43.8265,43.9167
"MANAGEMENT AREA","HOT_SABLE2",-60.9292,-60.8041,44,44.0902
"MANAGEMENT AREA","HOT_WESTERN",-61.6251,-61.5,43.7,43.7902
"MANAGEMENT AREA","MIDDLE BANK STUDY AREA",-60.968,-60.19,44.333,44.901
"MANAGEMENT AREA","MISAINE SEA",-60.25,-57.75,45.166667,45.833333
"MANAGEMENT AREA","MOBILE GEAR < 65 FT",-65.716667,-65.55,41.9,42.066667
"MANAGEMENT AREA","NAFO_DIV_NAME",-73.431129,-44.480302,35.903904,59.249925
"MANAGEMENT AREA","NAFO_UNITAREA_NAME",-71.000002,-43.8,40.2,72.324397
"MANAGEMENT AREA","NEWBURN H-23 DRILLING LOCATION",-60.805,-60.805,43.204444,43.204444
"MANAGEMENT AREA","NS NFLD BNDRY",-60.404,-55.573139,40.972694,47.761139
"MANAGEMENT AREA","ROSEWAY WHALE (PROPOSED)",-66.066667,-64.8,42.666667,43.2
"MANAGEMENT AREA","SFA 29",-66.45,-65.5,43.19,43.666667
"MANAGEMENT AREA","SILVER HAKE BOX 1977",-65.5,-60,39,43.65
