"","LONGITUDE","LATITUDE","LFA","GRID"
"1",-64.839893318,45.4379675621,"",0
"2",-59.692880895,45.4136276633,"27",348
"3",-59.4713776192,45.6277715656,"27",349
"4",-58.8394287591,46.0426632922,"27",350
"5",-59.511374435,46.3498792895,"27",351
"6",-59.7830364384,46.3585278069,"27",352
"7",-59.982976295,46.3498198238,"27",353
"8",-60.1013135497,46.4000414493,"27",354
"9",-60.4708520375,46.3273906078,"27",355
"10",-60.2778255236,46.4529055768,"27",356
"11",-59.8945528126,46.5729357128,"27",357
"12",-59.6187013579,46.6871315753,"27",358
"13",-59.5819038538,46.9830954356,"27",359
"14",-60.0253534545,47.1892103633,"27",360
"15",-60.1775834121,47.3895090923,"27",361
"16",-60.1417751308,47.1995086668,"27",362
"17",-60.7416966893,46.1019324477,"27",363
"18",-60.5712609455,46.099587044,"27",364
"19",-60.8617860487,45.8900631294,"28",365
"20",-60.5828813589,45.9163565326,"28",366
"21",-60.8109290065,45.7665342569,"28",367
"22",-61.0536906101,45.7667903331,"28",368
"23",-61.2298610912,45.5731006108,"29",341
"24",-61.1558820135,45.4643125923,"29",342
"25",-60.8771227742,45.4730790815,"29",343
"26",-60.8161671322,45.5614922265,"29",344
"27",-60.3672662683,45.1781774264,"30",345
"28",-60.1846562094,45.2265944423,"30",346
"29",-60.0198223694,45.3032909067,"30",347
"30",-60.9096604578,44.8639068829,"31A",337
"31",-60.5999412097,44.9240390654,"31A",338
"32",-60.8256643997,45.3565482334,"31A",339
"33",-61.299599307,45.3794676195,"31A",340
"34",-61.9222195583,44.754446499,"31B",331
"35",-61.7162008669,44.6368888416,"31B",332
"36",-61.5496417463,44.6794423485,"31B",333
"37",-61.3707746848,44.7544280451,"31B",334
"38",-61.1829201818,44.7759923713,"31B",335
"39",-61.0659931977,44.8447021931,"31B",336
"40",-63.2359303149,44.5970511948,"32",323
"41",-63.0449553539,44.5442880095,"32",324
"42",-62.8398489097,44.4622904822,"32",325
"43",-62.6144118209,44.389130995,"32",326
"44",-62.432456044,44.3950251151,"32",327
"45",-62.2882898699,44.4506033007,"32",328
"46",-62.1490567231,44.4858805981,"32",329
"47",-61.931960028,44.4919373818,"32",330
"48",-65.4433463339,43.456062599,"33",301
"49",-65.3769006042,43.5070122246,"33",302
"50",-65.3019345104,43.5647400766,"33",303
"51",-65.278798854,43.6519596585,"33",304
"52",-65.1828300405,43.6739283079,"33",305
"53",-65.0750111576,43.6732207875,"33",306
"54",-64.9822390346,43.7220907379,"33",307
"55",-64.865809886,43.7957342755,"33",308
"56",-64.7253013182,43.9044779922,"33",309
"57",-64.6016551405,43.9995233347,"33",310
"58",-64.4871973661,44.0915803599,"33",311
"59",-64.3370138483,44.1903061057,"33",312
"60",-64.2155794702,44.2784712816,"33",313
"61",-64.2083333454,44.385897557,"33",314
"62",-64.2500795401,44.5053703294,"33",315
"63",-64.1520097473,44.46973453,"33",316
"64",-64.0471953235,44.3848123463,"33",317
"65",-63.9765892997,44.6015653694,"33",318
"66",-63.8836071102,44.4212599497,"33",319
"67",-63.7238594874,44.4060114382,"33",320
"68",-63.5499940476,44.3959601414,"33",321
"69",-63.0183529633,44.1381086317,"33",322
"70",-65.3141034473,43.1877364911,"33",469
"71",-65.2362445959,43.2395315471,"33",470
"72",-65.1598196658,43.2938088492,"33",471
"73",-65.0959034271,43.3349381965,"33",472
"74",-65.0297414302,43.3730811164,"33",473
"75",-64.9431557082,43.4173060309,"33",474
"76",-64.8488231427,43.4630756597,"33",475
"77",-64.7189295682,43.5381676282,"33",476
"78",-64.5677535523,43.6361065427,"33",477
"79",-64.4420060617,43.7178803776,"33",478
"80",-64.3189062655,43.7925656573,"33",479
"81",-64.1692272943,43.8760424167,"33",480
"82",-64.0506999161,44.0526953428,"33",481
"83",-63.8809856518,43.9201995962,"33",482
"84",-63.7228392868,43.831266523,"33",483
"85",-63.4382738842,43.8597664928,"33",484
"86",-65.1511351079,42.7927090617,"33",485
"87",-65.0522756193,42.8821756458,"33",486
"88",-64.9689776934,42.9290473698,"33",487
"89",-64.9013471241,42.9640982994,"33",488
"90",-64.8330997538,43.0010120785,"33",489
"91",-64.7488016846,43.0472267912,"33",490
"92",-64.6575893545,43.0951937931,"33",491
"93",-64.5239292084,43.1651675864,"33",492
