"FEATURECLASS","FEATUREID","minX","maxX","minY","maxY"
"STRATA","440",-60.231816,-58.249687,46.00009,47.255852
"STRATA","441",-60.387712,-58.567949,45.999226,47.164798
"STRATA","442",-60.413175,-59.03236,45.772396,47.04286
"STRATA","444",-59.999394,-57.624609,44.567123,46.001248
"STRATA","446",-58.573656,-57.135294,44.459774,46.001248
"STRATA","447",-58.520531,-57.264608,44.270704,45.123073
"STRATA","448",-60.004416,-58.179391,44.091486,44.755251
"STRATA","449",-58.182039,-57.23281,44.230367,45.127727
"STRATA","450",-59.49999,-58.164253,43.93622,44.46194
"STRATA","451",-58.851161,-57.222744,43.893087,44.469646
"STRATA","452",-59.708284,-58.852599,43.834464,44.397487
"STRATA","453",-61.339075,-59.021472,43.200604,43.846697
"STRATA","454",-61.339075,-59.021472,43.200604,44.001179
"STRATA","455",-61.338368,-59.092531,43.288731,44.004874
"STRATA","456",-61.358273,-59.111911,44.00044,44.41911
"STRATA","457",-60.923441,-59.086985,44.000802,44.502558
"STRATA","458",-61.052257,-60.236724,44.316812,44.78481
"STRATA","459",-62.000596,-59.99403,44.321908,45.739189
"STRATA","460",-63.604406,-61.993337,43.49821,44.791355
"STRATA","461",-63.446832,-61.943255,43.356021,44.551623
"STRATA","462",-62.768397,-61.215879,43.664426,44.551623
"STRATA","463",-62.682477,-62.245116,43.249488,43.687077
"STRATA","464",-62.104298,-61.334852,43.130793,44.029989
"STRATA","465",-63.337926,-61.334852,42.81945,43.672219
"STRATA","466",-63.337127,-61.338664,42.791515,43.233375
"STRATA","467",-61.445,-60.034167,45.304167,45.706667
"STRATA","468",-62,-60.585833,44.789,45.304167
"STRATA","469",-63.508333,-61.998167,44.332,44.904167
"STRATA","470",-64.57895,-63.325759,43.547832,44.36086
"STRATA","471",-64.346961,-63.296815,43.213215,44.076745
"STRATA","472",-64.284826,-63.332881,42.75834,43.596388
"STRATA","473",-64.279371,-63.882002,42.983852,43.381194
"STRATA","474",-64.862458,-64.495381,43.26824,43.538036
"STRATA","475",-65.063882,-64.595225,42.841715,43.085614
"STRATA","476",-65.397062,-64.238123,42.758457,43.757502
"STRATA","477",-65.289662,-64.167953,42.301096,43.104516
"STRATA","478",-65.586843,-63.337195,42.108589,42.843572
"STRATA","480",-66.476015,-65.246245,42.370228,42.871048
"STRATA","481",-67.044745,-65.165324,42.129652,43.135507
"STRATA","482",-67.66819,-65.58173,42.003439,42.752959
"STRATA","483",-67.534448,-66.479941,42.308153,42.629523
"STRATA","484",-67.66819,-66.635894,42.734519,44.32519
"STRATA","485",-67.575878,-66.435931,42.817524,44.189086
"STRATA","490",-66.812322,-65.679612,43.731744,44.872747
"STRATA","491",-67.001534,-65.778748,43.99888,44.945451
"STRATA","492",-67.467862,-65.813719,43.952655,45.056483
"STRATA","493",-67.337818,-65.813719,44.470021,45.193156
"STRATA","494",-65.896923,-64.965955,45.005763,45.460382
"STRATA","495",-65.971817,-64.836413,44.760114,45.321831
"STRATA","5Z1",-67.185,-65.714005,41.15827,42.20312
"STRATA","5Z2",-67.14124,-66.07092,41.3447,42.15416
"STRATA","5Z3",-68.166666,-66.586667,41.333333,42.2
"STRATA","5Z4",-68.16667,-66.35248,40.55593,41.5
"STRATA","5Z5",-70,-68.16666,41.08128,42.33452
"STRATA","5Z6",-70.00079,-68.166667,41,42.125
"STRATA","5Z7",-70,-68.166667,40.12231,41
